Ticker Symbol,Sector,Date,Price,Open,High,Low,Volume,Change
AP,Industrial,9/10/2012,34,33.55,34.1,33.55,4.60M,1.3%
AP,Industrial,9/11/2012,33.55,33.9,33.95,33.55,621.50K,-1.3%
AP,Industrial,9/12/2012,33.75,33.6,33.9,33.5,3.85M,0.6%
AP,Industrial,9/13/2012,33.6,33.75,33.85,33.55,1.68M,-0.4%
AP,Industrial,9/14/2012,33.75,33.6,33.75,33.45,5.07M,0.5%
AP,Industrial,9/17/2012,33.75,33.75,33.8,33.6,3.15M,0.0%
AP,Industrial,9/18/2012,33.5,33.7,33.7,33.45,1.95M,-0.7%
AP,Industrial,9/19/2012,33.65,33.5,33.75,33.45,1.56M,0.5%
AP,Industrial,9/20/2012,33.4,33.65,33.65,33.4,2.87M,-0.7%
AP,Industrial,9/21/2012,33.3,33.5,33.5,33.25,2.13M,-0.3%
AP,Industrial,9/24/2012,33.4,33.5,33.5,33.2,1.61M,0.3%
AP,Industrial,9/25/2012,33.2,33.4,33.4,33.2,1.04M,-0.6%
AP,Industrial,9/26/2012,33.55,34,34,33.25,1.65M,1.1%
AP,Industrial,9/27/2012,33.45,33.55,33.55,33.25,2.36M,-0.3%
AP,Industrial,9/28/2012,33.55,33.55,33.55,33.25,3.07M,0.3%
AP,Industrial,10/1/2012,33.25,33.55,33.75,33.25,2.48M,-0.9%
AP,Industrial,10/2/2012,33.25,33.3,33.35,33.25,1.15M,0.0%
AP,Industrial,10/3/2012,33.6,33.4,33.75,33.35,2.44M,1.1%
AP,Industrial,10/4/2012,33.6,33.8,33.9,33.45,3.31M,0.0%
AP,Industrial,10/5/2012,33.9,33.6,34.4,33.6,8.62M,0.9%
AP,Industrial,10/8/2012,33.9,33.95,34,33.6,1.83M,0.0%
AP,Industrial,10/9/2012,33.9,34,34.25,33.85,1.33M,0.0%
AP,Industrial,10/10/2012,33.35,33.8,33.9,33.3,1.29M,-1.6%
AP,Industrial,10/11/2012,33.2,33.35,33.4,33.1,3.07M,-0.5%
AP,Industrial,10/12/2012,33.55,33.2,33.75,33.2,7.11M,1.1%
AP,Industrial,10/15/2012,33.4,33.9,33.9,33.4,1.26M,-0.5%
AP,Industrial,10/16/2012,33.45,33.45,33.6,33.4,1.06M,0.2%
AP,Industrial,10/17/2012,33.65,33.5,33.65,33.25,3.22M,0.6%
AP,Industrial,10/18/2012,33.6,33.65,33.75,33.5,743.90K,-0.2%
AP,Industrial,10/19/2012,33.45,33.6,33.9,33.45,465.90K,-0.5%
AP,Industrial,10/22/2012,33.45,33.3,33.45,33.2,1.02M,0.0%
AP,Industrial,10/23/2012,33.5,33.5,33.9,33.4,273.70K,0.2%
AP,Industrial,10/24/2012,33.25,33.5,33.5,33,1.60M,-0.8%
AP,Industrial,10/25/2012,33.1,33.2,33.2,32.9,1.65M,-0.5%
AP,Industrial,10/29/2012,33,32.9,33.1,32.9,3.44M,-0.3%
AP,Industrial,10/30/2012,33.05,33,33.15,33,2.69M,0.2%
AP,Industrial,10/31/2012,33.1,33.05,33.15,33.05,1.27M,0.2%
AP,Industrial,11/5/2012,33.55,33.2,33.95,33.15,2.33M,1.4%
AP,Industrial,11/6/2012,33.8,33.7,33.9,33.5,1.97M,0.8%
AP,Industrial,11/7/2012,33.8,33.85,33.85,33.5,1.28M,0.0%
AP,Industrial,11/8/2012,33.7,33.8,33.8,33.45,1.77M,-0.3%
AP,Industrial,11/9/2012,33.65,33.85,33.85,33.45,1.17M,-0.2%
AP,Industrial,11/12/2012,33.6,33.5,33.65,33.5,2.17M,-0.2%
AP,Industrial,11/13/2012,33.85,33.6,33.95,33.6,2.38M,0.7%
AP,Industrial,11/14/2012,34.75,33.95,34.75,33.85,6.10M,2.7%
AP,Industrial,11/15/2012,34.5,34.75,34.75,33.9,1.62M,-0.7%
AP,Industrial,11/16/2012,34.35,34.5,34.5,33.9,2.26M,-0.4%
AP,Industrial,11/19/2012,34.25,34.5,34.5,34.05,1.39M,-0.3%
AP,Industrial,11/20/2012,34.5,34.3,34.9,34.3,1.43M,0.7%
AP,Industrial,11/21/2012,34.55,34.85,34.85,34.05,1.47M,0.1%
AP,Industrial,11/22/2012,34.55,34.6,34.7,34.5,1.08M,0.0%
AP,Industrial,11/23/2012,34.8,34.55,34.8,34.5,1.21M,0.7%
AP,Industrial,11/26/2012,34.9,34.8,34.9,34.6,1.96M,0.3%
AP,Industrial,11/27/2012,35,34.9,35.5,34.7,3.48M,0.3%
AP,Industrial,11/28/2012,35.05,35.05,35.15,35,3.67M,0.1%
AP,Industrial,11/29/2012,35.45,35.1,35.75,35,6.70M,1.1%
AP,Industrial,12/3/2012,36.15,35.45,36.15,35.45,5.66M,2.0%
AP,Industrial,12/4/2012,36.5,35.9,36.5,35.9,4.35M,1.0%
AP,Industrial,12/5/2012,36.5,36.35,36.55,36.3,6.66M,0.0%
AP,Industrial,12/6/2012,37.5,36.5,37.5,36.5,5.37M,2.7%
AP,Industrial,12/7/2012,37.1,37.3,37.4,36.9,6.22M,-1.1%
AP,Industrial,12/10/2012,37.5,37.1,37.55,36.55,3.73M,1.1%
AP,Industrial,12/11/2012,37.2,37.4,37.4,37,2.15M,-0.8%
AP,Industrial,12/12/2012,37.5,37,37.55,37,1.38M,0.8%
AP,Industrial,12/13/2012,37.5,37.55,38,37.35,2.27M,0.0%
AP,Industrial,12/14/2012,36.8,37.1,37.1,36.65,3.57M,-1.9%
AP,Industrial,12/17/2012,36.45,36.7,36.7,35,7.68M,-1.0%
